Type	Size	Year	Amount
Application fee	Small	2020 fee	 $200.00
Application fee	Small	2021 fee	 $204.00
Application fee	Small	2022 fee	 $203.59
Application fee	Small	2023 fee	 $210.51
Application fee	Small	2024 fee	 $225.00
Application fee	Small	2025 fee	 $234.90
Application fee	Standard	2020 fee	 $400.00
Application fee	Standard	2021 fee	 $408.00
Application fee	Standard	2022 fee	 $407.18
Application fee	Standard	2023 fee	 $421.02
Application fee	Standard	2024 fee	 $555.00
Application fee	Standard	2025 fee	 $579.42
Late Fee	All	2020 fee	 $150.00
Late Fee	All	2021 fee	 $150.00
Late Fee	All	2022 fee	 $150.00
Late Fee	All	2023 fee	 $150.00
Late Fee	All	2024 fee	 $150.00
Late Fee	All	2025 fee	 $150.00
MFee 2nd - 4th	Small	2020 fee	 $50.00
MFee 2nd - 4th	Small	2021 fee	 $50.00
MFee 2nd - 4th	Small	2022 fee	 $50.00
MFee 2nd - 4th	Small	2023 fee	 $50.00
MFee 2nd - 4th	Small	2024 fee	 $56.21
MFee 2nd - 4th	Small	2025 fee	 $58.68
MFee 2nd - 4th	Standard	2020 fee	 $100.00
MFee 2nd - 4th	Standard	2021 fee	 $100.00
MFee 2nd - 4th	Standard	2022 fee	 $100.00
MFee 2nd - 4th	Standard	2023 fee	 $100.00
MFee 2nd - 4th	Standard	2024 fee	 $125.00
MFee 2nd - 4th	Standard	2025 fee	 $130.50
MFee 5th - 9th	Small	2020 fee	 $100.00
MFee 5th - 9th	Small	2021 fee	 $100.00
MFee 5th - 9th	Small	2022 fee	 $100.00
MFee 5th - 9th	Small	2023 fee	 $100.00
MFee 5th - 9th	Small	2024 fee	 $100.00
MFee 5th - 9th	Small	2025 fee	 $104.40
MFee 5th - 9th	Standard	2020 fee	 $200.00
MFee 5th - 9th	Standard	2021 fee	 $204.00
MFee 5th - 9th	Standard	2022 fee	 $203.59
MFee 5th - 9th	Standard	2023 fee	 $210.51
MFee 5th - 9th	Standard	2024 fee	 $277.00
MFee 5th - 9th	Standard	2025 fee	 $289.19
